ship_type,SHIPNAME,SHIP_ID,LAT,LON,dist_value,DATETIME,max_dist,max_DATETIME
Cargo,HANNA,145692,57.66417,11.7795,2333.5553730670317,2016-12-13T14:47:05Z,2333.5553730670317,2016-12-13T14:47:05Z
Cargo,HAUKUR,182391,55.72101,21.10265,782.9300841531459,2016-12-13T23:39:06Z,1070.995405708094,2016-12-13T23:43:06Z
Cargo,HAUKUR,182391,55.72609,21.08812,1070.995405708094,2016-12-13T23:43:06Z,1070.995405708094,2016-12-13T23:43:06Z
Cargo,HEINA,691174,54.72828,18.9864,0,2016-12-16T00:23:02Z,4106.871233261076,2016-12-16T00:43:02Z
Cargo,HEINA,691174,54.6917,18.99523,4106.871233261076,2016-12-16T00:43:02Z,4106.871233261076,2016-12-16T00:43:02Z
Cargo,HEINRICH SCHEPERS,123303,59.90049,30.1049,584.7422396117269,2016-12-15T17:47:04Z,1171.7708884051267,2016-12-15T17:49:04Z
Cargo,HEINRICH SCHEPERS,123303,59.90443,30.08541,1171.7708884051267,2016-12-15T17:49:04Z,1171.7708884051267,2016-12-15T17:49:04Z
Cargo,HELGA,359267,55.72045,21.10403,175.1770755731881,2016-12-14T16:57:06Z,1210.512569232113,2016-12-14T17:03:06Z
Cargo,HELGA,359267,55.7266,21.08808,1210.512569232113,2016-12-14T17:03:06Z,1210.512569232113,2016-12-14T17:03:06Z
Cargo,HELGE,37523,57.98425,11.75003,776.9390179160321,2016-12-20T06:13:05Z,1679.9706352040962,2016-12-20T06:17:06Z
Cargo,HELGE,37523,57.99721,11.76468,1679.9706352040962,2016-12-20T06:17:06Z,1679.9706352040962,2016-12-20T06:17:06Z
Cargo,HELT,3575,54.68167,20.16127,0,2016-12-17T03:23:02Z,4167.014093746959,2016-12-17T03:39:03Z
Cargo,HELT,3575,54.68575,20.22571,4167.014093746959,2016-12-17T03:39:03Z,4167.014093746959,2016-12-17T03:39:03Z
Cargo,HENDRIKA MARGARETHA,226912,57.92032,11.60437,309.448679918102,2016-12-13T20:05:05Z,552118.9851737076,2016-12-19T16:45:06Z
Cargo,HENDRIKA MARGARETHA,226912,54.79905,18.5848,552118.9851737076,2016-12-19T16:45:06Z,552118.9851737076,2016-12-19T16:45:06Z
Cargo,HENNEKE RAMBOW,151630,59.90027,30.10585,652.0968624025544,2016-12-18T08:41:05Z,1399.3429872680963,2016-12-18T08:43:04Z
Cargo,HENNEKE RAMBOW,151630,59.90508,30.08266,1399.3429872680963,2016-12-18T08:43:04Z,1399.3429872680963,2016-12-18T08:43:04Z
Cargo,HOEGH TRIDENT,308314,57.66784,11.78583,0,2016-12-14T17:11:04Z,1598.4581936817424,2016-12-14T17:13:05Z
Cargo,HOEGH TRIDENT,308314,57.65933,11.76417,1598.4581936817424,2016-12-14T17:13:05Z,1598.4581936817424,2016-12-14T17:13:05Z
Cargo,HOOD ISLAND,368866,59.90839,30.06607,713.2955866459093,2016-12-19T14:23:04Z,1403.281840029605,2016-12-19T14:25:03Z
Cargo,HOOD ISLAND,368866,59.90368,30.08942,1403.281840029605,2016-12-19T14:25:03Z,1403.281840029605,2016-12-19T14:25:03Z
Cargo,HOOGE,205553,59.9176,30.02119,0,2016-12-15T15:03:04Z,1625.5790818808864,2016-12-15T15:07:04Z
Cargo,HOOGE,205553,59.91205,30.04817,1625.5790818808864,2016-12-15T15:07:04Z,1625.5790818808864,2016-12-15T15:07:04Z
Cargo,HVITANES,181730,59.91454,30.03516,0,2016-12-13T18:49:05Z,857.0448713342812,2016-12-13T18:51:03Z
Cargo,HVITANES,181730,59.91746,30.02093,857.0448713342812,2016-12-13T18:51:03Z,857.0448713342812,2016-12-13T18:51:03Z
Cargo,ICE RUNNER,364576,57.64557,11.70243,0,2016-12-16T23:33:05Z,1873.987846948701,2016-12-16T23:35:04Z
Cargo,ICE RUNNER,364576,57.63196,11.68386,1873.987846948701,2016-12-16T23:35:04Z,1873.987846948701,2016-12-16T23:35:04Z
Cargo,ICELAND CEMENT,375446,57.69333,11.90667,560.138185056785,2016-12-18T23:47:07Z,1119.2145211482368,2016-12-18T23:49:06Z
Cargo,ICELAND CEMENT,375446,57.68828,11.89038,1119.2145211482368,2016-12-18T23:49:06Z,1119.2145211482368,2016-12-18T23:49:06Z
Cargo,IDA H,327685,57.91244,12.0521,245.44404082305908,2016-12-16T15:43:07Z,2446.525607031488,2016-12-16T15:51:05Z
Cargo,IDA H,327685,57.93297,12.067,2446.525607031488,2016-12-16T15:51:05Z,2446.525607031488,2016-12-16T15:51:05Z
Cargo,IDUNA,122006,54.70171,18.99737,392.5725384522014,2016-12-14T15:27:02Z,6481.647053489807,2016-12-14T15:49:01Z
Cargo,IDUNA,122006,54.75998,18.99467,6481.647053489807,2016-12-14T15:49:01Z,6481.647053489807,2016-12-14T15:49:01Z
Cargo,INA LOTTE,758523,59.91727,30.02257,290.63883203512006,2016-12-14T15:11:04Z,924.2890965434881,2016-12-14T15:13:03Z
Cargo,INA LOTTE,758523,59.91415,30.03794,924.2890965434881,2016-12-14T15:13:03Z,924.2890965434881,2016-12-14T15:13:03Z
Cargo,IRIS BOLTEN,300118,55.62799,20.80453,1494.1886154101035,2016-12-15T03:51:06Z,154943.33540826204,2016-12-15T10:15:01Z
Cargo,IRIS BOLTEN,300118,54.69598,18.99102,154943.33540826204,2016-12-15T10:15:01Z,154943.33540826204,2016-12-15T10:15:01Z
Cargo,IVAN SHCHEPETOV,350926,54.6701,20.14155,5660.675587021426,2016-12-14T02:47:02Z,20270.457678434355,2016-12-14T18:27:03Z
Cargo,IVAN SHCHEPETOV,350926,54.70267,20.45184,20270.457678434355,2016-12-14T18:27:03Z,20270.457678434355,2016-12-14T18:27:03Z
Cargo,IVS KITE,732703,55.73795,20.83695,0,2016-12-14T16:07:06Z,1578.9048410031921,2016-12-14T16:09:07Z
Cargo,IVS KITE,732703,55.73813,20.81173,1578.9048410031921,2016-12-14T16:09:07Z,1578.9048410031921,2016-12-14T16:09:07Z
Cargo,JADE,270798,55.68204,20.84196,0,2016-12-14T22:55:06Z,2816.404526484485,2016-12-14T22:57:06Z
Cargo,JADE,270798,55.69443,20.88115,2816.404526484485,2016-12-14T22:57:06Z,2816.404526484485,2016-12-14T22:57:06Z
Cargo,JETTEN GBG STAD VA,323659,57.60263,11.79241,305.746601504937,2016-12-13T14:21:05Z,5382.461568478918,2016-12-14T10:09:05Z
Cargo,JETTEN GBG STAD VA,323659,57.65103,11.79379,5382.461568478918,2016-12-14T10:09:05Z,5382.461568478918,2016-12-14T10:09:05Z
Cargo,JOMI,370338,57.92633,11.655,0,2016-12-15T11:25:05Z,1497.1840632461683,2016-12-15T11:27:06Z
